year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2014,2014090235,ukraine,2014-09-02,Group Play,201,24,64,10,31,6,7,7,31,12,5,2,9,15,64,W,6,0.375,0.3225806451612903,0.8571428571428571,67.08,0.4770423375074538,0.453125,11.829652996845427
2014,2014090336,angola,2014-09-03,Group Play,201,30,64,7,16,20,24,13,30,17,5,2,17,20,87,L,6,0.46875,0.4375,0.8333333333333334,74.56,0.5834227467811158,0.5234375,18.567059851463522
2014,2014090336,slovenia,2014-09-03,Group Play,200,31,61,14,33,17,21,10,28,19,9,0,15,23,93,W,6,0.5081967213114754,0.42424242424242425,0.8095238095238095,70.24,0.6620159453302962,0.6229508196721312,17.597372125762554
2014,2014090337,argentina,2014-09-03,Group Play,201,29,64,12,28,11,12,12,38,20,10,3,13,17,81,W,35,0.453125,0.42857142857142855,0.9166666666666666,69.28,0.5845842956120092,0.546875,15.799708313077296
2014,2014090337,senegal,2014-09-03,Group Play,200,18,55,1,12,9,12,6,26,7,8,4,19,17,46,L,35,0.32727272727272727,0.08333333333333333,0.75,60.28,0.38155275381552756,0.33636363636363636,23.9656912209889
2014,2014090338,australia,2014-09-03,Group Play,200,25,56,6,13,14,19,10,35,18,7,4,14,23,70,W,8,0.44642857142857145,0.46153846153846156,0.7368421052631579,64.36,0.5438160348042262,0.5,17.866258295048492
2014,2014090338,mexico,2014-09-03,Group Play,200,23,57,7,17,9,18,9,26,13,7,4,11,21,62,L,8,0.40350877192982454,0.4117647058823529,0.5,64.92,0.47751078250154033,0.4649122807017544,14.488935721812433
2014,2014090339,brazil,2014-09-03,Group Play,200,31,62,11,23,8,15,11,36,16,4,3,9,27,81,W,8,0.5,0.4782608695652174,0.5333333333333333,68.6,0.5903790087463557,0.5887096774193549,11.597938144329898
2014,2014090339,serbia,2014-09-03,Group Play,200,24,57,8,20,17,29,7,24,13,5,0,8,24,73,L,8,0.42105263157894735,0.4,0.5862068965517241,69.76,0.5232224770642201,0.49122807017543857,10.288065843621398
2014,2014090340,croatia,2014-09-03,Group Play,200,24,61,8,20,9,17,6,32,9,6,4,13,16,65,L,11,0.39344262295081966,0.4,0.5294117647058824,68.48,0.47459112149532706,0.45901639344262296,15.954835542464407
